,tickr,positivity_index,buy/sell
0,FB,82.90598291,SELL
1,AAPL,131.884058,BUY
2,AMZN,171.2328767,BUY
3,NFLX,128.3783784,BUY
4,GOOGL,138.6666667,BUY
