,tickr,positivity_index,buy/sell
0,FB,108.1632653,BUY
1,AAPL,113.5135135,BUY
2,AMZN,176.4705882,BUY
3,NFLX,121.6216216,BUY
4,GOOGL,140.5797101,BUY
