,tickr,positivity_index,buy/sell
0,FB,110.9090909,BUY
1,AAPL,91.66666667,SELL
2,AMZN,174.6268657,BUY
3,NFLX,109.8360656,BUY
4,GOOGL,138.1578947,BUY
